strain	replicate	temp	mumax	r2
118	BRX10.2	OD6	11	0.0528710051834623	0.988285391340705
119	BRX10.2	OD7	11	0.0547159086757474	0.984587478317127
120	BRX10.2	OD8	11	0.0494809002158913	0.991061790560126
121	BRX10.2	OD1	17	0.0305222951028345	0.995682991737661
122	BRX10.2	OD2	17	0.0283726735118711	0.995198700442517
123	BRX10.2	OD3	17	0.0290662778443926	0.996152182374278
124	BRX10.2	OD4	17	0.0401445978178975	0.993515567682949
125	BRX10.2	OD5	17	0.0297637156556199	0.994530345497929
126	BRX10.2	OD6	17	0.0290872142729222	0.995187740731354
127	BRX10.2	OD7	17	0.0285761984254808	0.996020660712826
128	BRX10.2	OD8	17	0.0309299485450083	0.99615541350632
129	BRX10.3	OD1	-1	0.0260368859646602	0.995182551401605
130	BRX10.3	OD2	-1	0.0211594359027907	0.991610163601264
131	BRX10.3	OD3	-1	0.0218839860080367	0.995036511782813
132	BRX10.3	OD4	-1	0.0226764997772826	0.994441605991161
133	BRX10.3	OD5	-1	0.0204217304663582	0.994435294505366
134	BRX10.3	OD6	-1	0.0193851678971688	0.997278550484364
135	BRX10.3	OD7	-1	0.022208666834531	0.994081905326113
136	BRX10.3	OD8	-1	0.0225455927007501	0.993553404481963
137	BRX10.3	OD1	4	0.034205933457004	0.9925320506451
138	BRX10.3	OD2	4	0.0182125947653531	0.804053149049995
139	BRX10.3	OD3	4	0.0286917321922335	0.994820125368164
140	BRX10.3	OD4	4	0.0210306301886091	0.966181783445828
141	BRX10.3	OD5	4	0.0215121881194545	0.984906230895125
142	BRX10.3	OD6	4	0.0181917338417651	0.736577097122991
143	BRX10.3	OD7	4	0.0213426147192767	0.881531287841456
144	BRX10.3	OD8	4	0.0131568518604412	0.749210742772418
145	BRX10.3	OD1	11	0.0255080726349307	0.993933199552206
146	BRX10.3	OD2	11	0.0277849401944818	0.993698827511063
147	BRX10.3	OD3	11	0.0280936207610319	0.996181109673753
148	BRX10.3	OD4	11	0.0291778537962816	0.996370756531489
149	BRX10.3	OD5	11	0.0323562038149346	0.997803712079525
