PGF_00004014	PGF_00004014	pgfam	FOG: WD40 repeat
PGF_00004015	PGF_00004015	pgfam	FOG: WD40 repeat
PGF_00004018	PGF_00004018	pgfam	FOG: WD40 repeat
PGF_00004056	PGF_00004056	pgfam	Fatty acid cis/trans isomerase
PGF_00004094	PGF_00004094	pgfam	Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)
PGF_00004127	PGF_00004127	pgfam	Fe(2+)/alpha-ketoglutarate-dependent dioxygenase LpxO
PGF_00004149	PGF_00004149	pgfam	Fe-S oxidoreductase
PGF_00004222	PGF_00004222	pgfam	Fe2+-dicitrate sensor, membrane component
PGF_00004231	PGF_00004231	pgfam	Inner membrane transport permease YhhJ
PGF_00004337	PGF_00004337	pgfam	Ferredoxin 3 fused to uncharacterized domain
PGF_00004414	PGF_00004414	pgfam	Ferredoxin-type protein NapF (periplasmic nitrate reductase)
PGF_00004417	PGF_00004417	pgfam	Ferredoxin-type protein NapG (periplasmic nitrate reductase)
PGF_00004438	PGF_00004438	pgfam	Vitamin B12 ABC transporter, ATP-binding protein BtuD
PGF_00004481	PGF_00004481	pgfam	Ferric iron ABC transporter, permease protein
PGF_00004538	PGF_00004538	pgfam	Ferric siderophore transporter, periplasmic energy transduction protein TonB
PGF_00004637	PGF_00004637	pgfam	Ferritin-like protein 2
PGF_00004643	PGF_00004643	pgfam	Ferritin/ribonucleotide reductase-like protein
PGF_00004671	PGF_00004671	pgfam	Ferrous iron transport protein B
PGF_00004678	PGF_00004678	pgfam	Feruloyl esterase( EC:3.1.1.73 )
PGF_00004683	PGF_00004683	pgfam	Fibroin heavy chain precursor
PGF_00004735	PGF_00004735	pgfam	Fic domain protein, KPN_03553 type
PGF_00004737	PGF_00004737	pgfam	Fic domain protein, MA2133 type
PGF_00004746	PGF_00004746	pgfam	Fic domain protein, YP3572 type
PGF_00004756	PGF_00004756	pgfam	Fic family protein MloA
PGF_00004814	PGF_00004814	pgfam	Fimbrial protein pilin
PGF_00005142	PGF_00005142	pgfam	Domain of unknown function / Efflux ABC transporter, permease protein
